countrycode,total_sms_count,average_sms_count,total_call_time,average_call_time
31,,,,
53,0.0028894678037938,0.0028894678037938,0.42113481766016436,0.014037827255338812
593,,,,
375,0.006137921172155799,0.002045973724051933,,
34,0.8286727136869265,0.059190908120494753,,
385,,,,
27,,,,
44,1.4964142456058256,0.05344336591449377,,
91,,,,
233,,,,
47,,,0.0815485096566742,0.0815485096566742
353,0.0105995764352934,0.0105995764352934,,
355,0.10182875032011279,0.03394291677337093,0.171989545769285,0.171989545769285
1,1.0663609517368948,0.01568177870201316,,
212,,,0.0150675906650332,0.0150675906650332
86,,,,
852,,,,
40,0.1293943986367278,0.014377155404080867,,
20,,,0.1036501096143493,0.1036501096143493
359,0.1926353359641729,0.048158833991043225,,
18099,,,,
94,,,,
48,0.6346776355825842,0.09066823365465489,0.2429563768711452,0.1214781884355726
92,,,,
41,0.4253641624112942,0.03544701353427452,0.2069805022523653,0.02956864317890933
43,,,,
358,,,,
61,0.0150675906650332,0.0150675906650332,,
880,,,,
55,,,,
39,1738.7636967089834,0.5187242531948041,1598.5016291386312,0.552923427581678
49,0.2825322456526968,0.0470887076087828,,
380,0.0815485096566742,0.0815485096566742,,
7,,,,
234,,,0.0069581232652192,0.0034790616326096
389,,,,
63,,,,
1647,,,,
45,,,,
216,,,,
82,,,,
356,,,,
351,,,,
1514,,,,
352,,,,
256,,,,
32,0.04608564073943321,0.009217128147886642,,
371,0.2402987910427035,0.2402987910427035,,
90,,,,
221,,,0.171989545769285,0.171989545769285
213,,,,
370,,,0.0815485096566742,0.0815485096566742
33,1.2007578763398008,0.13341754181553342,,
421,,,,
373,,,,
971,,,,
357,,,,
30,,,,
46,,,,
420,,,,
0,28.11846615373428,0.17041494638626836,0.7301953943727997,0.060849616197733304
36,,,,
218,,,,
387,,,,
381,,,,
51,,,,
62,,,,
226,,,,
98,,,,
964,,,,
